source,translated,context
Free-$120/user/mo,مجاني-$120/مستخدم/شهر,
Free-form notes appended to the script,ملاحظات حرة مرفقة بالسكربت,
Friday,الجمعة,
From Date,من تاريخ,
From lead capture through AI scoring to deal closure — the complete sales lifecycle.,من التقاط العميل المحتمل عبر التسجيل بالذكاء الاصطناعي حتى إغلاق الصفقة — دورة المبيعات الكاملة.,
Full Call Script,سكربت المكالمة الكامل,
Full Name,الاسم الكامل,
"Full pipeline visibility, team analytics, and revenue forecasting to hit your targets.",رؤية كاملة للمسار، تحليلات الفريق، وتوقعات الإيرادات لتحقيق أهدافك.,
Fuzzy,مطابقة تقريبية,
Fuzzy Threshold (%),حد المطابقة التقريبية (%),
Gamification Enabled,الألعاب التحفيزية مفعّلة,
Gamification Hub,مركز الألعاب التحفيزية,
Gamification Master Controls,التحكم الرئيسي بالألعاب التحفيزية,
Gamification data unavailable,بيانات التحفيز غير متاحة,
General,عام,
General Manager,المدير العام,
General Manager — Executive Overview & Strategic Decisions,المدير العام — النظرة التنفيذية والقرارات الاستراتيجية,
General Manager — Executive View,المدير العام — النظرة التنفيذية,
General Manager — Strategic Insights,المدير العام — الرؤى الاستراتيجية,
General Settings,الإعدادات العامة,
Generate AI Content,إنشاء محتوى بالذكاء الاصطناعي,
Generated Content,المحتوى المولّد,
Generated Image Url,رابط الصورة المولّدة,
Generated Output,المخرجات المولّدة,
Generating,جارٍ الإنشاء,
Get Started,ابدأ الآن,
Get notified when customer satisfaction drops or churn risk increases,احصل على إشعارات عند انخفاض رضا العملاء أو زيادة خطر التسرب,
"Get the complete picture of your business performance across sales, marketing, and service:",احصل على الصورة الكاملة لأداء أعمالك عبر المبيعات والتسويق والخدمة:,
Go to,اذهب إلى,
Go to AuraCRM Workspace,الذهاب لمساحة عمل AuraCRM,
Gold,ذهبي,
Google,جوجل,
Google Ads Customer ID,معرف عميل إعلانات جوجل,
Google Ads Developer Token,رمز مطور إعلانات جوجل,
Google Business URL,رابط جوجل للأعمال,
Google CSE API Key,مفتاح API محرك بحث جوجل المخصص,
Google CSE ID,معرف محرك بحث جوجل المخصص,
Google CSE Queries,استعلامات محرك بحث جوجل المخصص,
Google Maps,خرائط جوجل,
Google Place ID,معرف مكان جوجل,
Google Places API Key,مفتاح API أماكن جوجل,
Google Search,بحث جوجل,
Greeting Message,رسالة الترحيب,
Guidelines for AI-generated content tone and style,إرشادات لنبرة وأسلوب المحتوى المولّد بالذكاء الاصطناعي,
Healthcare,الرعاية الصحية,
Here is how AuraCRM's DocTypes connect together — from lead capture to customer retention.,إليك كيف ترتبط أنواع مستندات AuraCRM معاً — من التقاط العملاء المحتملين إلى الاحتفاظ بالعملاء.,
HeyGen API Key,مفتاح API HeyGen,
Hidden until earned — adds surprise element,مخفي حتى الحصول عليه — يضيف عنصر مفاجأة,
"Hide deal values, commission rates, and cost data from unauthorized users",إخفاء قيم الصفقات ونسب العمولة وبيانات التكلفة عن المستخدمين غير المصرح لهم,
High-Value Deal Threshold,حد الصفقة عالية القيمة,
High-value customers flagged automatically with priority routing and dedicated agents,تمييز العملاء ذوي القيمة العالية تلقائياً مع التوجيه ذي الأولوية والوكلاء المخصصين,
Higher = more important (used for rule precedence),أعلى = أكثر أهمية (يستخدم لأولوية القواعد),
Higher number = higher priority in queue,رقم أعلى = أولوية أعلى في الطابور,
Higher priority rules override lower ones. First matching rule wins.,القواعد ذات الأولوية الأعلى تتجاوز الأقل. أول قاعدة مطابقة تفوز.,
Higher weight = more leads (for weighted distribution),وزن أعلى = عملاء أكثر (للتوزيع الموزون),
Highlight Fields,الحقول المميزة,
Holiday checking API,API فحص العطلات,
Home,الرئيسية,
Hot (80-100),ساخن (80-100),
Hour of day when a new streak day begins (0-23),ساعة بدء يوم السلسلة الجديد (0-23),
Hours,ساعات,
How AuraCRM Adapts to Your Industry,كيف يتكيف AuraCRM مع صناعتك,
How Everything Connects,كيف يرتبط كل شيء,
How leads are assigned to agents,كيف يتم تعيين العملاء المحتملين للوكلاء,
How many consecutive missed days before streak resets to 0,كم يوم فائت متتالي قبل إعادة تعيين السلسلة إلى 0,
How many times the event must occur to complete the challenge,كم مرة يجب أن يحدث الحدث لإكمال التحدي,
How your work connects,كيف يرتبط عملك,
Hub,المركز,
Hub Dashboard,لوحة المركز,
Human Handoff Keywords,كلمات التحويل للعامل البشري,
Human Queue,طابور العامل البشري,
Humorous,فكاهي,
Hunt Config,تكوين البحث,
Hunt Configs,تكوينات البحث,
Hunt Logs,سجلات البحث,
Hunt Name,اسم البحث,
Hunter,هانتر,
Icon,الأيقونة,
"If checked, segment members are recalculated dynamically from filters",إذا تم التحديد، يتم إعادة حساب أعضاء الشريحة ديناميكياً من الفلاتر,
"If unchecked, agents only see their own rank",إذا لم يتم التحديد، يرى الوكلاء ترتيبهم فقط,
If-then automation for CRM events,قواعد إذا-ثم لأحداث CRM,
Ignore,تجاهل,
Ignored,تم التجاهل,
Image,صورة,
Image Prompt,وصف الصورة,
Image generation,إنشاء الصور,
Import,استيراد,
Import or create your first leads,استيراد أو إنشاء عملائك المحتملين الأوائل,
In Progress,قيد التنفيذ,
Inactive,غير نشط,
"Increase your sales, organize follow-ups, and give every team member the tools they need — from first contact to closed deal.",زِد مبيعاتك، نظّم المتابعات، وامنح كل عضو في الفريق الأدوات التي يحتاجها — من أول تواصل حتى إتمام الصفقة.,
Individual,فردي,
Individual Contributor,مساهم فردي,
"Individual performance metrics: calls made, emails sent, deals closed, response time averages",مقاييس أداء فردية: المكالمات والرسائل والصفقات المغلقة ومتوسطات وقت الاستجابة,
Industry,الصناعة,
Industry Preset,قالب الصناعة,
Industry Terminology,مصطلحات الصناعة,
Inflation Hedger,متحوط من التضخم,
Inflation Hedgers,متحوطون من التضخم,
Influencer,مؤثر,
Influencers,المؤثرون,
Input,الإدخال,
Inspiring,ملهم,
Instagram,إنستغرام,
Instagram Business Account ID,معرف حساب إنستغرام للأعمال,
Instagram Handle,حساب إنستغرام,
Instructions shown before the call connects,تعليمات تظهر قبل اتصال المكالمة,
Instructions/tips shown to agent before calling,تعليمات/نصائح تظهر للوكيل قبل الاتصال,
Insufficient permissions,صلاحيات غير كافية,
Intel Entries,إدخالات الاستخبارات,
Intel Type,نوع الاستخبارات,
Interaction Type,نوع التفاعل,
Interactions,التفاعلات,
Interactive CRM Map,خريطة CRM التفاعلية,
Interactive map of all AuraCRM modules and their relationships — click any node to explore.,خريطة تفاعلية لجميع وحدات AuraCRM وعلاقاتها — انقر على أي عنصر للاستكشاف.,
Interested,مهتم,
Invalid,غير صالح,
Invalid JSON in filters: {0},JSON غير صالح في الفلاتر: {0},
Invalid license key format,صيغة مفتاح الترخيص غير صالحة,
Invited,مدعو,
Is Active,نشط,
Is Broker Detected,تم كشف وسيط,
Is Competitor Review,تقييم منافس,
Is Default,افتراضي,
Is Verified,موثّق,
"JSON array of checklist items, e.g. [""Confirm email"",""Schedule follow-up"",""Update status""]","مصفوفة JSON لعناصر قائمة التحقق، مثال: [""تأكيد البريد"",""جدولة المتابعة"",""تحديث الحالة""]",
"JSON array of contact field names to display, e.g. [""company_name"",""territory"",""annual_revenue""]","مصفوفة JSON لأسماء حقول جهات الاتصال، مثال: [""company_name"",""territory"",""annual_revenue""]",
JSON array of field names to highlight prominently,مصفوفة JSON لأسماء الحقول المراد إبرازها,
"JSON array of field names to show during call, e.g. [""company_name"",""territory"",""annual_revenue""]","مصفوفة JSON لأسماء الحقول المعروضة أثناء المكالمة، مثال: [""company_name"",""territory"",""annual_revenue""]",
"JSON log of each step execution: [{step_idx, step_name, channel, status, sent_at, error}]","سجل JSON لتنفيذ كل خطوة: [{step_idx, step_name, channel, status, sent_at, error}]",
"Jinja variables: {{ lead_name }}, {{ company }}, {{ agent_name }}, {{ phone }}",متغيرات Jinja: {{ lead_name }}، {{ company }}، {{ agent_name }}، {{ phone }},
Journey,رحلة,
Journey Days,أيام الرحلة,
Journey Name,اسم الرحلة,
Journey Steps,خطوات الرحلة,
Journeys,الرحلات,
Jump into any module:,انتقل إلى أي وحدة:,
KPI data unavailable,بيانات مؤشرات الأداء غير متاحة,
Key Fields,الحقول الرئيسية,
Key Message,الرسالة الرئيسية,
Keyword Filters,فلاتر الكلمات المفتاحية,
Knowledge Base,قاعدة المعرفة,
Knowledge Base Suggestions,اقتراحات قاعدة المعرفة,
LEVEL,المستوى,
LOST DEALS,الصفقات الخاسرة,
Language,اللغة,
Last Attempt,آخر محاولة,
Last Calculated,آخر حساب,
Last Call,آخر مكالمة,
Last Checked,آخر فحص,
Last Price Check,آخر فحص سعر,
Last Profiled At,آخر تحليل في,
Last Roi Check,آخر فحص عائد,
Last Step At,آخر خطوة في,
Last Step Name,اسم آخر خطوة,
Last Synced,آخر مزامنة,
Last Touch,آخر تواصل,
Last Updated,آخر تحديث,
Last Viewed At,آخر عرض في,
Lead Actions,إجراءات العميل المحتمل,
Lead Capture → Enrichment → AI Scoring → Distribution → Nurture → Pipeline → Deal Room → Close → Customer Service → Analytics,التقاط العملاء → الإثراء → التسجيل بالذكاء الاصطناعي → التوزيع → الرعاية → المسار → غرفة الصفقة → الإغلاق → خدمة العملاء → التحليلات,
Lead Count,عدد العملاء المحتملين,
Lead Created,إنشاء عميل محتمل,
Lead Label,تسمية العميل المحتمل,
Lead Metrics,مقاييس العملاء المحتملين,
Lead Name,اسم العميل المحتمل,
Lead Owner,مسؤول العميل المحتمل,
Lead Profiles,ملفات العملاء المحتملين,
Lead Score,نقاط العميل المحتمل,
Lead Score Changed,تم تغيير نقاط العميل المحتمل,
Lead Score Distribution,توزيع نقاط العملاء,
Lead Score Heatmap,خريطة حرارة نقاط العملاء المحتملين,
Lead Scoring Enabled,تسجيل نقاط العملاء مفعّل,
Lead Segment,شريحة العملاء المحتملين,
Lead Source Analysis,تحليل مصدر العملاء المحتملين,
Lead Targeted,عميل مستهدف,
"Lead field to evaluate (e.g. source, industry, company_name)",حقل العميل المحتمل للتقييم (مثال: المصدر، الصناعة، اسم الشركة),
Lead name is required,اسم العميل المحتمل مطلوب,
Lead scoring criteria and weights,معايير وأوزان تسجيل نقاط العملاء,
Lead {0} not found,العميل المحتمل {0} غير موجود,
Lead → Customer,عميل محتمل → عميل,
Leaderboard,لوحة المتصدرين,
Leaderboard Configuration,تكوين لوحة المتصدرين,
Leaderboard Period,فترة لوحة المتصدرين,
Leads (MTD),العملاء المحتملين (منذ بداية الشهر),
Leads Assigned,العملاء المعيّنين,
Leads Contacted,العملاء الذين تم التواصل معهم,
Leads Converted,العملاء المحوّلين,
Leads Created,العملاء المُنشأين,
Leads Disqualified,العملاء غير المؤهلين,
Leads Gen.,العملاء المولّدين,
Leads Generated,العملاء المولّدين,
Level,المستوى,
Level Color,لون المستوى,
Level Name,اسم المستوى,
Level Number,رقم المستوى,
Level Perks,امتيازات المستوى,
Level Progression,تقدم المستوى,
Level Up!,ارتقاء مستوى!,
Levels,المستويات,
License,الترخيص,
License Information,معلومات الترخيص,
License Key,مفتاح الترخيص,
License Key Validation,التحقق من مفتاح الترخيص,
License Source,مصدر الترخيص,
License Status,حالة الترخيص,
License Tier,مستوى الترخيص,
License validated successfully,تم التحقق من الترخيص بنجاح,
Lifestyle,نمط الحياة,
Linear,خطي,
Link to AZ Call Log or Communication,رابط لسجل مكالمات AZ أو الاتصال,
LinkedIn,لينكدإن,
LinkedIn Access Token,رمز وصول لينكدإن,
LinkedIn Organization ID,معرف منظمة لينكدإن,
LinkedIn Sales Nav URL,رابط لينكدإن Sales Nav,
Linkedin Url,رابط لينكدإن,
List,قائمة,
List Members,أعضاء القائمة,
List Name,اسم القائمة,
Lists,القوائم,
Loading 360° view…,جارٍ تحميل عرض 360°...,
Loading Gamification Hub...,جارٍ تحميل مركز الألعاب التحفيزية...,
Loading badges...,جارٍ تحميل الشارات...,
Loading call context...,جارٍ تحميل سياق المكالمة...,
Loading challenges...,جارٍ تحميل التحديات...,
Loading quality data...,جاري تحميل بيانات الجودة...,
Loading...,جارٍ التحميل...,
Loading…,جارٍ التحميل...,
Long-running automated programs with intelligent branching and scoring triggers,برامج آلية طويلة المدى مع تفرع ذكي ومشغلات تسجيل,
Long-term automated nurture programs with intelligent branching and scoring triggers,برامج رعاية آلية طويلة المدى مع تفرع ذكي ومشغلات التسجيل,
Lookback Window Days,أيام نافذة الاستعادة,
Lower number = higher priority,رقم أقل = أولوية أعلى,
Lusha,لوشا,
Lusha API Key,مفتاح API لوشا,
Lusha enrichment API key,مفتاح API إثراء لوشا,
Luxury,فاخر,
Lv.,م.,
Manage and score incoming leads,إدارة وتسجيل العملاء المحتملين الواردين,
Manager,المدير,
Manual,يدوي,
Map Frappe roles like Sales User or Sales Manager to specific CAPS capabilities,ربط أدوار Frappe مثل مستخدم المبيعات أو مدير المبيعات بصلاحيات CAPS محددة,
Marketing,التسويق,
Marketing Campaigns,الحملات التسويقية,
Marketing Lists,قوائم التسويق,
Marketing Manager,مدير التسويق,
Marketing Mgr,مدير التسويق,
Marketing — Campaign Engine,التسويق — محرك الحملات,
Marketing — Campaigns & Lead Generation,التسويق — الحملات وتوليد العملاء المحتملين,
Marketing — ROI & Attribution,التسويق — العائد والإسناد,
Marketing → fills your pipeline | Customer Service → retains your wins | General Manager → sees your forecasts,التسويق → يملأ مسارك | خدمة العملاء → تحافظ على مكاسبك | المدير العام → يرى توقعاتك,
Master toggle for the entire gamification system,مفتاح رئيسي لنظام الألعاب التحفيزية بالكامل,
Match Field 1,حقل المطابقة 1,
Match Field 2,حقل المطابقة 2,
Match Field 3,حقل المطابقة 3,
Match Fields,حقول المطابقة,
Match Type,نوع المطابقة,
Matched Rule,القاعدة المطابقة,
Max Concurrent Calls,أقصى مكالمات متزامنة,
Max Concurrent Leads,أقصى عملاء متزامنين,
Max History Items,أقصى عناصر السجل,
Max Level!,أقصى مستوى!,
Max Open Items,أقصى عناصر مفتوحة,
Max Points Per Occurrence,أقصى نقاط لكل حدث,
Max Results Per Run,أقصى نتائج لكل تشغيل,
Max Streak Multiplier,أقصى مضاعف للسلسلة,
Maximum Lead Score,أقصى نقاط للعميل المحتمل,
Maximum concurrent open leads/opportunities,أقصى عملاء/فرص مفتوحين متزامنين,
Maximum times this event can earn points per day. 0 = unlimited.,أقصى مرات يمكن لهذا الحدث كسب نقاط يومياً. 0 = بلا حدود.,
Measure & Improve Satisfaction,قِس وحسّن الرضا,
Media Asset,أصل وسائط,
Media Assets,أصول الوسائط,
Member,عضو,
Member Count,عدد الأعضاء,
Member not found in list,العضو غير موجود في القائمة,
Members,الأعضاء,
Mention,ذكر,
Merge,دمج,
Merge Suggestion,اقتراح دمج,
Message,رسالة,
Messages,الرسائل,
Messages Sent,الرسائل المرسلة,
Meta,ميتا,
Meta Access Token,رمز وصول ميتا,
Meta Ad Account ID,معرف حساب إعلانات ميتا,
Meta Page Access Token,رمز وصول صفحة ميتا,
Metadata,البيانات الوصفية,
Metrics,المقاييس,
Milestone,معلم,
Minimum Points,أدنى نقاط,
Minimum minutes between earning points from this event. 0 = no cooldown.,أدنى دقائق بين كسب النقاط من هذا الحدث. 0 = بدون انتظار.,
Minutes,دقائق,
Mixed,مختلط,
Model Name,اسم النموذج,
Model Type,نوع النموذج,
Model Used,النموذج المستخدم,
Model for quality content generation,نموذج لإنشاء محتوى عالي الجودة,
"Model for quick tasks (profiling, tagging)",نموذج للمهام السريعة (التحليل، التوسيم),
Models,النماذج,
Monday,الاثنين,
Monitoring Active,المراقبة نشطة,
Monthly,شهري,
Monthly Revenue Target,هدف الإيرادات الشهرية,
Motivator,المحفز,
Move deals between stages with visual Kanban cards showing deal value and age,انقل الصفقات بين المراحل ببطاقات كانبان بصرية تعرض قيمة الصفقة وعمرها,
Move failed,فشل النقل,
Moved to,تم النقل إلى,
Multi-Channel Sequences,تسلسلات متعددة القنوات,
Multi-Touch Attribution,الإسناد متعدد اللمسات,
Multi-channel campaign automation with full attribution tracking and ROI analysis.,أتمتة الحملات متعددة القنوات مع تتبع كامل للإسناد وتحليل العائد على الاستثمار.,
"Multi-step workflows with email, WhatsApp, SMS, delays, and conditional branching",سير عمل متعدد الخطوات بالبريد والواتساب والرسائل والتأخير والتفرع الشرطي,
Multiplier Applied,المضاعف المطبق,
Multiplier Description,وصف المضاعف,
Multiplier Factor,عامل المضاعفة,
Multiplier Factor cannot be negative,عامل المضاعفة لا يمكن أن يكون سالباً,
My Leads,عملائي المحتملين,
My Open Leads,عملائي المحتملين المفتوحين,
N/A,غ/م,
NEW LEADS,عملاء محتملين جدد,
NPS Tracking,تتبع NPS,
Name,الاسم,
Navigate the Module Map,تصفح خريطة الوحدات,
Negative,سلبي,
Negative Review,تقييم سلبي,
Negotiating,جارٍ التفاوض,
Net Promoter Score surveys at key customer lifecycle moments,استبيانات صافي نقاط الترويج في لحظات دورة حياة العميل الرئيسية,
Neutral,محايد,
New,جديد,
New Ad,إعلان جديد,
New Campaign,حملة جديدة,
New Classification,تصنيف جديد,
New Content,محتوى جديد,
New Context Rule,قاعدة سياق جديدة,
New Dialer Campaign,حملة اتصال جديدة,
New Document,مستند جديد,
New Lead,عميل محتمل جديد,
New List,قائمة جديدة,
New Offer,عرض جديد,
New Opportunity,فرصة جديدة,
New Rule,قاعدة جديدة,
New Score,النقاط الجديدة,
New Sequence,تسلسل جديد,
Next Action At,الإجراء التالي في,
Next Node Id,معرف العقدة التالية,
Next Retry At,الإعادة التالية في,
Next Step Due,موعد الخطوة التالية,
Niche,التخصص,
No Answer,لا رد,
No Audience Segment linked,لا توجد شريحة جمهور مرتبطة,
No CRM data yet. Create Leads and Opportunities to see the map.,لا توجد بيانات CRM بعد. أنشئ عملاء محتملين وفرص لمشاهدة الخريطة.,
No Contact Classification linked,لا يوجد تصنيف جهات اتصال مرتبط,
No Sales Stages configured. Create Sales Stages first.,لم يتم ضبط مراحل المبيعات. أنشئ مراحل المبيعات أولاً.,
No active breaches,لا توجد انتهاكات نشطة,
No active breaches!,لا توجد خروقات نشطة!,
No active challenges,لا توجد تحديات نشطة,
No active enrollment found for this contact,لم يتم العثور على تسجيل نشط لجهة الاتصال هذه,
No activity yet. Start earning points!,لا يوجد نشاط بعد. ابدأ بكسب النقاط!,
No agent data available,لا تتوفر بيانات وكلاء,
No agents,لا يوجد وكلاء,
No analytics data available,لا تتوفر بيانات تحليلية,
No available agents in this rule,لا يوجد وكلاء متاحون في هذه القاعدة,
No classifications,لا توجد تصنيفات,
No communications,لا توجد اتصالات,
No communications yet.,لا توجد اتصالات بعد.,
No contact linked to this customer,لا توجد جهة اتصال مرتبطة بهذا العميل,
No contacts found in the audience segment,لم يتم العثور على جهات اتصال في شريحة الجمهور,
No data,لا توجد بيانات,
No data found.,لم يتم العثور على بيانات.,
No data yet,لا توجد بيانات بعد,
No details available.,لا تتوفر تفاصيل.,
No enrollments found. Link an Audience Segment or create enrollments manually.,لم يتم العثور على تسجيلات. اربط شريحة جمهور أو أنشئ تسجيلات يدوياً.,
No leads assigned,لا يوجد عملاء محتملين معيّنين,
No lists yet,لا توجد قوائم بعد,
No phone number found for this customer,لم يتم العثور على رقم هاتف لهذا العميل,
No pipeline data available,لا تتوفر بيانات المسار,
No pipeline stages,لا توجد مراحل مسار,
No recent communications,لا توجد اتصالات حديثة,
No related records.,لا توجد سجلات مرتبطة.,
No rules yet,لا توجد قواعد بعد,
No score history found,لم يتم العثور على سجل نقاط,
No segments,لا توجد شرائح,
No tasks or assignments.,لا توجد مهام أو تعيينات.,
No team members found,لم يتم العثور على أعضاء فريق,
No team members found. Assign Sales roles to users.,لم يتم العثور على أعضاء فريق. عيّن أدوار المبيعات للمستخدمين.,
No templates,لا توجد قوالب,
Node Id,معرف العقدة,
Node Type,نوع العقدة,
Nodes,العقد,
None,لا شيء,
Not Contacted,لم يتم التواصل,
Not Interested,غير مهتم,
Not Responded,لم يتم الرد,
Notes,الملاحظات,
Notification Settings,إعدادات الإشعارات,
Notify Agent,إشعار الوكيل,
Notify on Badge Earned,إشعار عند الحصول على شارة,
Notify on Challenge Complete,إشعار عند إكمال التحدي,
Notify on Level Up,إشعار عند ارتقاء المستوى,
Notify on Points Earned,إشعار عند كسب النقاط,
Number of days without interaction before score starts decaying,عدد أيام عدم التفاعل قبل بدء تناقص النقاط,
Nurture,الرعاية,
Nurture Sequence,تسلسل الرعاية,
OPPORTUNITIES,الفرص,
OSINT,الاستخبارات المفتوحة,
OSINT & Enrichment APIs,واجهات برمجة الاستخبارات والإثراء,
OSINT Engine,محرك OSINT,
OSINT Intelligence,استخبارات المصادر المفتوحة,
OSINT Outreach,تواصل الاستخبارات,
OSINT hunt '{0}' queued for lead {1},بحث الاستخبارات '{0}' في الطابور للعميل {1},
Occurred At,حدث في,
Off,إيقاف,
Old,قديم,
Old Score,النقاط القديمة,
"Omni-channel support with SLA enforcement, customer satisfaction tracking, and escalation workflows.",دعم متعدد القنوات مع تطبيق اتفاقيات الخدمة وتتبع رضا العملاء وسير عمل التصعيد.,
On,تشغيل,
On Duplicate,عند التكرار,
Onboarding complete! 🎉,اكتمل التعريف! 🎉,
Only System Manager can generate license keys,يمكن لمدير النظام فقط إنشاء مفاتيح الترخيص,
Only active campaigns can be paused,يمكن إيقاف الحملات النشطة فقط مؤقتاً,
Only active sequences can be paused,يمكن إيقاف التسلسلات النشطة فقط مؤقتاً,
Only check items with this status,فقط فحص العناصر بهذه الحالة,
Only execute if this evaluates to true. E.g.: {{ not responded }},تنفيذ فقط إذا كان التقييم صحيحاً. مثال: {{ not responded }},
Open,مفتوح,
Open Breaches,الانتهاكات المفتوحة,
Open Deals,الصفقات المفتوحة,
Open Hub,فتح المركز,
Open Leads,العملاء المحتملين المفتوحين,
Open Source,مفتوح المصدر,
Open Tasks,المهام المفتوحة,
OpenAI API Key,مفتاح OpenAI API,
Operator,المعامل,
Opportunities,الفرص,
Opportunities Lost,الفرص الخاسرة,
Opportunities Won,الفرص الرابحة,
Opportunity Lead,عميل الفرصة,
Opportunity status that triggers auto deal room creation,حالة الفرصة التي تشغل إنشاء غرفة صفقة تلقائياً,
Opps,الفرص,
Opt Out Count,عدد إلغاء الاشتراك,
Opt Outs,إلغاءات الاشتراك,
Opt-Out Reason,سبب إلغاء الاشتراك,
Opted Out,تم إلغاء الاشتراك,
Optimal Time Calculated,الوقت المثالي المحسوب,
Optimal Time Override,تجاوز الوقت المثالي,
Optimal Times,الأوقات المثالية,
Optional badge awarded on completion,شارة اختيارية تُمنح عند الإكمال,
Optional condition that multiplies base points when met,شرط اختياري يضاعف النقاط الأساسية عند تحقيقه,
Options,الخيارات,
"Order-linked customer profiles, loyalty programs, cart abandonment sequences, and purchase analytics",ملفات عملاء مرتبطة بالطلبات وبرامج الولاء وتسلسلات السلة المتروكة وتحليلات الشراء,
Organic Social,الاجتماعي العضوي,
Osint Result,نتيجة الاستخبارات,
Outbound,صادر,
Outbound calling campaign setup,إعداد حملة الاتصال الصادرة,
Overall Score,النقاط الإجمالية,
PIPELINE VALUE,قيمة المسار,
POINTS,النقاط,
Paid add-on,إضافة مدفوعة,
Partial,جزئي,
Participants,المشاركون,
Partnerships,الشراكات,
Past Brand Partnerships,شراكات العلامات التجارية السابقة,
"Patient relationship management, appointment scheduling, HIPAA-aligned field masking, and referral tracking",إدارة علاقات المرضى وجدولة المواعيد وإخفاء الحقول المتوافق مع HIPAA وتتبع الإحالات,
Paused,متوقف مؤقتاً,
Paused At,متوقف في,
Paused Reason,سبب التوقف,
Pending,معلّق,
Pending Approval,في انتظار الموافقة,
Per-App CAPS Integration,تكامل CAPS لكل تطبيق,
Performance Metrics,مقاييس الأداء,
Performance Snapshot,لقطة الأداء,
Performance Targets (for target-based events),أهداف الأداء (للأحداث المبنية على الأهداف),
Period,الفترة,
Phone,الهاتف,
Phone Call,مكالمة هاتفية,
Phone Found,تم العثور على الهاتف,
Phone Number,رقم الهاتف,
Phone number is too short: {0},رقم الهاتف قصير جداً: {0},
Phonetic,صوتية,
Pinterest,بينتريست,
Pipeline Board,لوحة المسار,
Pipeline Flow,تدفق المسار,
Pipeline Progress,تقدم المسار,
Pipeline Report,تقرير المسار,
Pipeline Stage,مرحلة المسار,
Pipeline Value,قيمة المسار,
"Pipeline forecasting, deal velocity trends, and revenue attribution across channels",توقعات المسار واتجاهات سرعة الصفقات وإسناد الإيرادات عبر القنوات,
"Pipeline, team performance, forecasting, and deal management",المسار، أداء الفريق، التوقعات، وإدارة الصفقات,
"Plan, schedule, and publish content across all channels with visual calendar view",خطط وجدول وانشر المحتوى عبر جميع القنوات بعرض تقويم بصري,
Platform,المنصة,
Platform AdSet ID,معرف مجموعة إعلانات المنصة,
Platform Campaign ID,معرف حملة المنصة,
Platform Insights,رؤى المنصة,
Platform Post Id,معرف منشور المنصة,
Platform Post Url,رابط منشور المنصة,
Platform Review Id,معرف تقييم المنصة,
Platform Search,بحث المنصة,
Platinum,بلاتيني,
Points,النقاط,
Points Configuration,تكوين النقاط,
Points Log,سجل النقاط,
Points System,نظام النقاط,
Points to add when matched (-100 to 100),النقاط المضافة عند المطابقة (-100 إلى 100),
Points to subtract per day of inactivity,النقاط المخصومة لكل يوم خمول,
Policy Name,اسم السياسة,
Poll,استطلاع,
Portfolio Items,عناصر المحفظة,
Position Based,مبني على المنصب,
Positive,إيجابي,
Positive Review,تقييم إيجابي,
Post,منشور,
Post Id,معرف المنشور,
Post-Call Checklist,قائمة ما بعد المكالمة,
Power Dialer,المُتصل القوي,
Pre-Call Briefing,إحاطة ما قبل المكالمة,
Predictive,تنبؤي,
Premium,مميز,
Premium Feature,ميزة مميزة,
Premium Features,الميزات المميزة,
Preset Applied On,تاريخ تطبيق القالب,
Preset Code,رمز القالب,
Preset Name,اسم القالب,
Preview,معاينة,
Preview Agent Call Context,معاينة سياق مكالمة الوكيل,
Preview Agent View,معاينة عرض الوكيل,
Price Alert Triggered,تم تشغيل تنبيه السعر,
Price Change,تغيير السعر,
Pricing,التسعير,
Priority,الأولوية,
Priority Score,نقاط الأولوية,
Priority-based auto-escalation with notification chains and manager overrides,تصعيد تلقائي حسب الأولوية مع سلاسل الإشعارات وتجاوز المديرين,
Processed,تم المعالجة,
Processing,قيد المعالجة,
Processing Date,تاريخ المعالجة,
Product Label,تسمية المنتج,
Professional,مهني,
Professional Profile,الملف المهني,
Professional Services,الخدمات المهنية,
Profile Url,رابط الملف الشخصي,
Profiles,الملفات الشخصية,
Progress,التقدم,
"Project-based pipeline, retainer management, time tracking integration, and client portal access",مسار قائم على المشاريع وإدارة التوكيل وتكامل تتبع الوقت والوصول لبوابة العميل,
Promotion,ترويج,
Property Finder,الباحث عن العقارات,
Property Type,نوع العقار,
Property Unit,وحدة عقارية,
Property Viewed,عقار تمت مشاهدته,
"Property listing integration, viewing schedules, commission tracking, and location-based lead assignment",تكامل قوائم العقارات وجداول المعاينة وتتبع العمولات وتوزيع العملاء حسب الموقع,
Prove Your Campaign Impact,أثبت تأثير حملاتك,
Provider,المزود,
Provider Results,نتائج المزود,
Providers Attempted,المزودون الذين تم المحاولة معهم,
Psychological Driver,الدافع النفسي,
Publish Results,نشر النتائج,
Publish to social platforms with AI-generated content suggestions and scheduling,انشر على المنصات الاجتماعية مع اقتراحات محتوى بالذكاء الاصطناعي وجدولة,
Published,منشور,
Published At,نُشر في,
Publishing,النشر,
Publishing Results,نتائج النشر,
Purchase Date,تاريخ الشراء,
Purchase Price,سعر الشراء,
Qualification Fields,حقول التأهيل,
Quality,الجودة,
Quality & Compliance,الجودة والامتثال,
Quality & SLA Compliance,الجودة والامتثال لاتفاقيات الخدمة,
Quality Analyst,محلل الجودة,
Quarterly,ربع سنوي,
Question,سؤال,
Queue,الطابور,
Queued,في الطابور,
Quick Start:,بداية سريعة:,
ROI,العائد على الاستثمار,
